HERD AREA NAME,Herd Code ,HERD AREA BLM Acres,,HERD MANAGEMENT AREA  BLM Acres ,HERD MANAGEMENT AREA Total Acres,Horse AML Low End,Horse AML High End,Horse Pop,% AML Horse,Burro AML Low End,Burro AML High End,Burro Pop,Burro % of AML,Population Inventory,Most Recent Gather,Most Recent Year at AML
PALOMINO BUTTES,OR0006,85200,98005,71415,74231,64,,71,,0,,0,,,September 2005,2005
POKEGAMA,OR0018,15903,70506,15903,70506,50,,60,,0,,0,,,June 2000,2002
RIDDLE MOUNTAIN,OR0009,29858,101668,28239,32665,56,,40,,0,,0,,,October 2007,2008
SAND SPRINGS,OR0017,193052,207253,193052,207253,200,,50,,0,,0,,,September 2006,2006
SHEEPSHEAD/HEATH CREEK (3),OR0016,198749,205276,198749,205276,302,,150,,0,,0,,,November 2008,2008
SOUTH STEENS,OR0003,186348,280715,126424,134458,304,,329,,0,,0,,,November 2004,2005
STINKINGWATER,OR0008,78196,92121,78196,92121,80,,70,,0,,0,,,September 2005,2005
THREE FINGERS,OR0012,82259,92682,61893,71486,150,,108,,0,,0,,,August 2006,2006
WARM SPRINGS,OR0007,474196,499454,474196,499454,202,,158,,25,,15,,,September 2006,2006
MURDERERS CREEK*,OR0019,33944,65809,33944,65809,35,,58,,0,,0,,,January 2008,2005
ALVORD TULE SPRINGS,OR0005,0,0,,,,,0,,,,0,,,,
ATTURBURY,OR0028,7837,9614,,,,,0,,,,0,,,,
BASQUE,OR0025,8555,9379,,,,,0,,,,0,,,,
CHERRY CREEK,OR0021,35473,139011,,,,,0,,,,0,,,,
COTTONWOOD BASIN,OR0026,7782,8043,,,,,0,,,,0,,,,
COTTONWOOD CREEK,OR0027,24282,24749,,,,,0,,,,0,,,,
DIAMOND CRATERS,OR0031,41025,54517,,,,,0,,,,0,,,,
EAST KIGER,OR0020,,,,,,,,,,,,,,,
EAST WAGONTIRE,OR0034,111725,195954,,,,,0,,,,0,,,,
HEATH CREEK-SHEEPSHEAD (in OR0016),OR0004,0,0,,,,,0,,,,0,,,,
LAKERIDGE,OR0023,3978,4355,,,,,0,,,,0,,,,
MIDDLE FORK,OR0032,37339,43282,,,,,0,,,,0,,,,
MORGER,OR0030,184,26854,,,,,0,,,,0,,,,
POTHOLES,OR0024,9225,10257,,,,,0,,,,0,,,December 1990,
PUEBLO-LONE MOUNTAIN,OR0036,229486,232806,,,,,0,,,,0,,,November 1992,
RHODES CANYON,OR0022,14779,39002,,,,,0,,,,0,,,,
SECOND FLAT,OR0033,9159,9704,,,,,0,,,,0,,,,
SMYTH CREEK,OR0038,,,,,,,,,,,,,,,
SOUTH CATLOW,OR0035,42457,97218,,,,,0,,,,0,,,,
STOCKADE,OR0029,32138,48203,,,,,0,,,,0,,,,
OUTSIDE HERD AREAS,OR000Z,,,,,,,150,,,,0,,,November 1995,
BIBLE SPRING (3),UT0440,53506,58256,53380,57889,60,,121,,0,,0,,,October 2005,2006
CANYON LANDS,UT0571,77253,87701,77253,87701,0,,0,,100,,77,,,May 1984,2003
